issn,doi-num,on_crossref,reference,asserted-by-cr,asserted-by-pub,ref-undefined,ref-num,year,doi
2104-3736,1,1,1,0,4,0,4,,10.4000/gss.830
2264-7082,1,1,1,0,19,0,19,,10.4000/tipa.1871
1772-9971,1,1,1,0,33,0,33,,10.4000/developpementdurable.11869
1772-9971,1,1,1,0,10,0,10,,10.4000/developpementdurable.2775
1772-9971,1,1,1,0,10,0,10,,10.4000/developpementdurable.9318
1772-9971,1,1,1,0,5,0,5,,10.4000/developpementdurable.8376
1772-9971,1,1,1,0,3,0,3,,10.4000/developpementdurable.10811
1772-9971,1,1,1,0,1,0,1,,10.4000/developpementdurable.1952
1772-9971,1,1,1,0,12,0,12,,10.4000/developpementdurable.19095
1772-9971,1,1,1,0,16,0,16,,10.4000/developpementdurable.10806
1772-9971,1,1,1,0,9,0,9,,10.4000/developpementdurable.2850
1772-9971,1,1,1,0,8,0,8,,10.4000/developpementdurable.18441
1772-9971,1,1,1,0,16,0,16,,10.4000/developpementdurable.18921
1772-9971,1,1,1,0,19,0,19,,10.4000/developpementdurable.19064
2090-2085 2090-2093,1,1,1,7,7,9,23,,10.1155/2013/952034
2090-2085 2090-2093,1,1,1,16,24,9,49,,10.1155/2011/631690
2090-2085 2090-2093,1,1,1,15,49,13,77,,10.1155/2013/502697
0891-060X 1651-2235,1,1,1,1,11,1,13,,10.3402/mehd.v23i0.17316
2090-6420 2090-6439,1,1,1,2,10,0,12,,10.1155/2011/612732
2090-6420 2090-6439,1,1,1,0,9,1,10,,10.1155/2015/624718
2090-6420 2090-6439,1,1,1,0,4,0,4,,10.1155/2017/4786510
2090-908X,1,1,1,4,123,44,171,,10.1155/2018/1451894
2090-908X,1,1,1,2,29,1,32,,10.1155/2016/3825645
2090-908X,1,1,1,6,176,10,192,,10.1155/2018/9464592
2090-908X,1,1,1,38,86,10,134,,10.6064/2012/428139
2090-908X,1,1,1,60,101,7,168,,10.6064/2012/545328
2090-908X,1,1,1,0,5,3,8,,10.1155/2016/1513946
1687-7381 1687-739X,1,1,1,1,11,2,14,,10.1155/2009/409873
2517-6323,1,1,1,3,0,28,31,,http://dx.doi.org/10.31757/euer.322
2517-6323,1,1,1,8,0,8,16,,10.31757/euer.231
1133-0953 1988-8740,1,1,1,0,38,15,53,,10.4995/raet.2018.10916
2340-4876,1,1,1,0,15,42,57,,10.4995/ijpme.2019.9469
2326-5507,1,1,1,3,28,93,124,,10.1080/23265507.2016.1164616
1679-4508 2317-6385,1,1,1,19,0,11,30,,10.31744/einstein_journal/2018ao4212
1679-4508 2317-6385,1,1,1,8,0,11,19,,10.1590/s1679-45082018ao4228
1679-4508 2317-6385,1,1,1,5,0,0,5,,10.1590/S1679-45082013000400023
1679-4508 2317-6385,1,1,1,14,0,8,22,,10.1590/S1679-45082014AO2945
1679-4508 2317-6385,1,1,1,11,0,14,25,,10.1590/S1679-45082012000300014
1935-7877 1935-7885,1,1,1,0,5,11,16,,10.1128/jmbe.v14i1.492
1935-7877 1935-7885,1,1,1,0,6,5,11,,10.1128/jmbe.v16i2.926
1935-7877 1935-7885,1,1,1,0,20,3,23,,10.1128/jmbe.v21i1.2079
1935-7877 1935-7885,1,1,1,0,9,15,24,,10.1128/jmbe.v21i1.2091
1935-7877 1935-7885,1,1,1,0,41,8,49,,10.1128/jmbe.v21i2.2109
1935-7877 1935-7885,1,1,1,1,10,4,15,,10.1128/jmbe.v21i2.2227
1935-7877 1935-7885,1,1,1,0,10,12,22,,10.1128/jmbe.v21i2.2025
1935-7877 1935-7885,1,1,1,0,23,8,31,,10.1128/jmbe.v20i2.1700
1935-7877 1935-7885,1,1,1,0,24,2,26,,10.1128/jmbe.v20i2.1666
1935-7877 1935-7885,1,1,1,0,5,0,5,,10.1128/jmbe.v19i1.1467
1935-7877 1935-7885,1,1,1,0,8,8,16,,10.1128/jmbe.v19i1.1420
1935-7877 1935-7885,1,1,1,0,7,0,7,,10.1128/jmbe.v15i2.827
1935-7877 1935-7885,1,1,1,0,4,2,6,,10.1128/jmbe.v14i2.545
1935-7877 1935-7885,1,1,1,0,0,1,1,,10.1128/jmbe.v13i1.376
1935-7877 1935-7885,1,1,1,0,11,1,12,,10.1128/jmbe.v13i1.346
2335-7711 2351-714X,1,1,1,0,0,12,12,,10.3846/coactivity.2010.40
2335-7711 2351-714X,1,1,1,1,4,27,32,,10.3846/cpe.2015.273
2476-664X,1,1,1,1,74,5,80,,10.15171/ijbsm.2019.10
2059-8688 2059-8696,1,1,1,5,28,0,33,,10.1136/svn-2020-000413
2059-8688 2059-8696,1,1,1,2,9,1,12,,10.1136/svn-2021-001383
2059-8688 2059-8696,1,1,1,14,35,0,49,,10.1136/svn-2019-000274
1820-7448,1,1,1,28,0,12,40,,10.1515/acve-2016-0040
1820-7448,1,1,1,7,0,4,11,,10.2478/acve-2018-0029
1820-7448,1,1,1,19,0,5,24,,10.1515/acve-2017-0031
1820-7448,1,1,1,33,0,3,36,,10.2478/acve-2018-0016
1820-7448,1,1,1,34,0,10,44,,10.1515/acve-2017-0042
1820-7448,1,1,1,35,0,6,41,,10.2478/acve-2018-0032
1820-7448,1,1,1,91,0,13,104,,10.2478/acve-2020-0011
1820-7448,1,1,1,57,0,5,62,,10.2478/acve-2019-0026
1820-7448,1,1,1,29,0,6,35,,10.2478/acve-2021-0020
1820-7448,1,1,1,30,0,1,31,,10.2478/acve-2021-0003
1820-7448,1,1,1,35,0,3,38,,10.2478/acve-2021-0024
2531-4033,1,1,1,0,17,22,39,,10.3897/italianbotanist.12.76124
2531-4033,1,1,1,0,14,35,49,,10.3897/italianbotanist.12.78038
2001-0370,1,1,1,62,0,7,69,,10.5936/csbj.201301005
2001-0370,1,1,1,69,0,7,76,,10.5936/csbj.201204006
2001-0370,1,1,1,71,0,3,74,,10.1016/j.csbj.2014.10.004
2001-0370,1,1,1,20,0,6,26,,10.5936/csbj.201302009
2183-7635,1,1,1,26,0,39,65,,10.17645/up.v6i4.4406
2183-7635,1,1,1,42,0,15,57,,10.17645/up.v5i4.3414
2183-7635,1,1,1,19,0,27,46,,10.17645/up.v5i4.3426
2183-7635,1,1,1,18,0,29,47,,10.17645/up.v5i3.3092
2183-7635,1,1,1,1,0,18,19,,10.17645/up.v5i2.3322
2183-7635,1,1,1,29,0,23,52,,10.17645/up.v5i2.2940
2338-1604 2407-8751,1,1,1,0,9,0,9,,10.14710/jwl.8.3.247-260
2338-1604 2407-8751,1,1,1,0,20,0,20,,10.14710/jwl.8.3.290-306
0350-0241 2406-0739,1,1,1,0,1,0,1,,10.2298/STA0858163P
0350-0241 2406-0739,1,1,1,0,1,0,1,,10.2298/STA0959009C
2227-7072,1,1,1,1,25,4,30,,10.3390/ijfs4030013
2227-7072,1,1,1,1,13,14,28,,10.3390/ijfs9010012
2227-7072,1,1,1,1,21,14,36,,10.3390/ijfs6020034
2227-7072,1,1,1,0,35,10,45,,10.3390/ijfs9010016
2227-7072,1,1,1,10,52,6,68,,10.3390/ijfs8040078
2227-7072,1,1,1,0,28,18,46,,10.3390/ijfs5010004
2227-7072,1,1,1,2,26,40,68,,10.3390/ijfs8040063
2215-0013,1,1,1,49,0,12,61,,10.1016/j.scog.2015.03.002
2215-0013,1,1,1,33,0,7,40,,10.1016/j.scog.2016.04.003
2215-0013,1,1,1,87,0,4,91,,10.1016/j.scog.2015.06.002
2215-0013,1,1,1,46,0,5,51,,10.1016/j.scog.2015.11.004
2215-0013,1,1,1,36,0,11,47,,10.1016/j.scog.2017.04.001
1542-4278,1,1,1,0,11,34,45,,10.25222/larr.75
0716-078X 0717-6317,1,1,1,0,42,27,69,,10.1186/s40693-021-00102-6
2661-8850,1,1,1,0,19,1,20,,10.1186/s12860-021-00397-z
2730-6011,1,1,1,0,39,5,44,,10.1007/s12672-021-00451-4
2336-4912 2336-4920,1,1,1,1,15,13,29,,10.5507/ag.2014.011
2475-4455,1,1,1,0,54,8,62,,10.1002/pld3.363
2475-4455,1,1,1,0,66,2,68,,10.1002/pld3.188
2475-4455,1,1,1,0,50,4,54,,10.1002/pld3.203
2475-4455,1,1,1,0,53,2,55,,10.1002/pld3.205
2475-4455,1,1,1,1,30,2,33,,10.1002/pld3.257
2475-4455,1,1,1,1,55,2,58,,10.1002/pld3.208
2303-3592 2540-9301,1,1,1,0,1,20,21,,10.20473/jaki.v5i2.2017.145-154
2045-7022,1,1,1,0,33,7,40,,10.1002/clt2.12076
2411-4944 2415-301X,1,1,1,1,0,10,11,,10.11603/24116-4944.2019.1.10188
0368-4814 2587-9359,1,1,1,0,2,0,2,,10.17816/KMJ2019-381
0368-4814 2587-9359,1,1,1,0,1,0,1,,10.17816/KMJ2019-850
2317-1537 2317-1545,1,1,1,13,0,17,30,,10.1590/2317-1545v38n4164650
2317-1537 2317-1545,1,1,1,16,0,15,31,,10.1590/2317-1545v39n4188530
2317-1537 2317-1545,1,1,1,24,0,9,33,,10.1590/2317-1545v40n2175172
